country,city,location,coordinates,measurements_parameter,measurements_sourcename,measurements_unit,measurements_value,measurements_lastupdated,country_name_en
DE,Leipzig,Leipzig Lützner Str.,"{'lon': 12.334685999865968, 'lat': 51.33587199980039}",NO,eea,µg/m³,10.26,2024-03-11T12:00:00+01:00,Germany
DE,Limburg a.d.,Limburg Schiede,"{'lon': 8.059908999819234, 'lat': 50.38642599999855}",PM10,eea,µg/m³,8.660249,2024-09-14T23:00:00+02:00,Germany
DE,Datteln,Datteln-Hagem,"{'lon': 7.331409000204609, 'lat': 51.64137700006872}",SO2,eea,µg/m³,2.7,2024-09-14T23:00:00+02:00,Germany
DE,Ludwigshafen am Rhein,Ludwigshafen-Oppau,"{'lon': 8.402331000031108, 'lat': 49.51495900020999}",PM10,eea,µg/m³,7.820899,2024-09-14T23:00:00+02:00,Germany
DE,Pirmasens,Pirmasens-Innenstadt,"{'lon': 7.614573000285578, 'lat': 49.19199600001357}",NO2,eea,µg/m³,18.0386047,2024-09-14T23:00:00+02:00,Germany
DE,Weißenfels,Weißenfels/Am Krug,"{'lon': 11.960960000011557, 'lat': 51.19724899989497}",NO2,eea,µg/m³,5.52608,2024-09-14T23:00:00+02:00,Germany
DE,Sonnenbühl,Schwäbische Alb,"{'lon': 9.207639000105223, 'lat': 48.34577799977753}",PM10,eea,µg/m³,5.4,2024-09-14T23:00:00+02:00,Germany
DE,Frankfurt am Main,Frankfurt Ost,"{'lon': 8.746343000329567, 'lat': 50.12533200006693}",NO2,eea,µg/m³,19.6855221,2024-09-14T23:00:00+02:00,Germany
DE,Marburg,Marburg Universitätsstraße,"{'lon': 8.770508000374308, 'lat': 50.807167000281055}",NO,eea,µg/m³,11.760902399999999,2024-03-11T12:00:00+01:00,Germany
DE,Bautzen,Bautzen,"{'lon': 14.44377100040737, 'lat': 51.17566899980827}",NO,eea,µg/m³,7.513,2024-03-11T12:00:00+01:00,Germany
DE,Dresden,Dresden-Nord,"{'lon': 13.74139699974652, 'lat': 51.06493000020476}",NO2,eea,µg/m³,12.911,2024-09-14T23:00:00+02:00,Germany
DE,Ludwigsburg,Ludwigsburg Schlossstraße,"{'lon': 9.193730000082258, 'lat': 48.89819999988532}",NO,eea,µg/m³,49.4,2024-03-11T12:00:00+01:00,Germany
DE,Wismar,Wismar,"{'lon': 11.47596000032361, 'lat': 53.90226000018788}",PM2.5,eea,µg/m³,3.26,2024-09-14T23:00:00+02:00,Germany
DE,Greiz,Greiz Mollbergstr.,"{'lon': 12.205198999905033, 'lat': 50.65586100019264}",O3,eea,µg/m³,68.0124,2024-09-14T23:00:00+02:00,Germany
DE,Göttingen,Göttingen-Verkehr,"{'lon': 9.928329999752227, 'lat': 51.53020000002224}",PM10,eea,µg/m³,9.92819,2024-09-14T23:00:00+02:00,Germany
DE,Darmstadt,Darmstadt,"{'lon': 8.664619000020453, 'lat': 49.87230299993746}",CO,eea,µg/m³,185.43082,2023-02-02T01:00:00+01:00,Germany
DE,Freiburg im Breisgau,Freiburg Schwarzwaldstraße,"{'lon': 7.8599200002167935, 'lat': 47.988200000014785}",PM10,eea,µg/m³,7.5,2024-09-14T23:00:00+02:00,Germany
DE,Hamburg,Hamburg Neugraben,"{'lon': 9.857223000038228, 'lat': 53.480926999866135}",O3,eea,µg/m³,44.877,2024-09-14T23:00:00+02:00,Germany
DE,Stuttgart,Stuttgart Arnulf-Klett-Platz,"{'lon': 9.180719999859662, 'lat': 48.78313000019777}",CO,eea,µg/m³,300.0,2024-03-11T12:00:00+01:00,Germany
DE,Neubrandenburg,Neubrandenburg Südstadt,"{'lon': 13.26819999961092, 'lat': 53.54609999973829}",NO,eea,µg/m³,4.0,2024-02-21T19:00:00+01:00,Germany
DE,Chemnitz,Chemnitz-Leipziger Str.,"{'lon': 12.903367000370736, 'lat': 50.84573999980416}",NO,eea,µg/m³,18.773,2024-03-11T12:00:00+01:00,Germany
DE,Güstrow,Güstrow,"{'lon': 12.175512000113262, 'lat': 53.78175000011868}",NO2,eea,µg/m³,3.01,2024-09-14T23:00:00+02:00,Germany
